id,collection,dc.contributor.advisor[en_US],dc.contributor.author[en_US],dc.date.issued[en_US],dc.description.abstract[en_US],dc.format.extent[en_US],dc.identifier.uri,dc.language[en_US],dc.note[en_US],dc.publisher[en_US],dc.subject[en_US],dc.thesis.degree[en_US],dc.title.alternative[en_US],dc.title[en_US],dc.type[en_US],ou.identifier[en_US]
3822,11244/111,,"Hellack, Jenna Jo.",1975,,"vii, 97 leaves ;",http://hdl.handle.net/11244/3934,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: B, page: 1610.",The University of Oklahoma.,"Fringillidae.||Biology, Zoology.",Ph.D.,,A phenetic analysis of the subfamily Cardinalinae (Aves) /,Thesis,(UMI)AAI7521189
4078,11244/111,,"Oien, M. Burton,",1976,,"viii, 118 leaves ;",http://hdl.handle.net/11244/4190,,"Source: Dissertation Abstracts International, Volume: 37-08, Section: A, page: 5205.",The University of Oklahoma.,"Accounting.||Business Administration, Accounting.||Cost accounting.",Ph.D.,,A comparison of cost and market based accounting models for a major petroleum company /,Thesis,(UMI)AAI7701840
3831,11244/111,,"Timmons, David Ray,",1975,,"vi, 71 leaves :",http://hdl.handle.net/11244/3943,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2067.",The University of Oklahoma.,"Education, Higher Oklahoma.||Education, Higher.",Ph.D.,,Development of post-secondary two-year educational service areas for Oklahoma /,Thesis,(UMI)AAI7521199
3872,11244/111,,"Savage, Emily Sue,",1975,,"v, 180 leaves :",http://hdl.handle.net/11244/3984,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2298.",The University of Oklahoma.,"Chimpanzees Behavior.||Animal behavior.||Anthropology, Cultural.",Ph.D.,,Mother-infant behavior among captive group-living chimpanzees (Pan troglodytes) /,Thesis,(UMI)AAI7521825
3839,11244/111,,"Bearman, Arlene Erlich,",1975,,94 leaves ;,http://hdl.handle.net/11244/3951,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2332.",The University of Oklahoma.,"Euro-dollar market.||Foreign exchange.||Banks and banking, International.||Economics, Finance.",Ph.D.,,Euro-dollar interest rates /,Thesis,(UMI)AAI7521788
4079,11244/111,,"Ozigbo, Stephen O.,",1976,,"v, 81 ;",http://hdl.handle.net/11244/4191,,"Source: Dissertation Abstracts International, Volume: 37-08, Section: A, page: 5021.",The University of Oklahoma.,"Education, Secondary.||Education.",Ph.D.,,"Dogmatism, pupil control ideology and perceptions of school organizational climate on the part of secondary school teachers",Thesis,(UMI)AAI7701841
3846,11244/111,,"Fischer, Ronald William,",1975,,"vi, 108 leaves ;",http://hdl.handle.net/11244/3958,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: B, page: 1915.",The University of Oklahoma.,"Psychology, Clinical.||Child development.",Ph.D.,,Scoring parental responses to an application form as a method to discriminate unilateral from bilateral terminations at a child guidance clinic /,Thesis,(UMI)AAI7521796
3823,11244/111,,"Karaoui, Riad Mohamad,",1975,,"vii, 78 leaves :",http://hdl.handle.net/11244/3935,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: B, page: 1583.",The University of Oklahoma.,"Biology, Microbiology.||Torulosis.||Cellular immunity.||Macrophages.",Ph.D.,,Role of macrophages in immunity and pathogenesis of experimental Cryptococcosis induced by the airborne route /,Thesis,(UMI)AAI7521190
3883,11244/111,,"Wagner, Linda Kordis,",1975,,"vi, 100 leaves ;",http://hdl.handle.net/11244/3995,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2114.",The University of Oklahoma.,"Rigidity (Psychology)||Wechsler Intelligence Scale for Children.||Education, Educational Psychology.",Ph.D.,,"Behavioral rigidity of normal and learning disabled students as measured by a modified version of the WISC, Coding B Subtest and by Raven's Standard Progressive Matrices /",Thesis,(UMI)AAI7521837
3832,11244/111,,"Tuggle, Howard Lewis,",1974,,"vi, 100 leaves :",http://hdl.handle.net/11244/3944,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: B, page: 1719.",The University of Oklahoma.,"Anions.||Chemistry, Organic.||Sulfones||Oxides Thermal properties.",Ph.D.,"Reactivity of the anion derived from 2-propenyl-1,3-dithiane.||Studies directed toward the synthesis of Illudin-S.||Thermal decomposition of sulfones and sulfoxides.","I. THE REACTIVITY OF THE ANION DERIVED FROM 2-PROPENYL-1,3-DITHIANE. II. STUDIES DIRECTED TOWARD THE SYNTHESIS OF ILLUDIN-S. III. THE THERMAL DECOMPOSITION OF SULFONES AND SULFOXIDES.",Thesis,(UMI)AAI7521200
4082,11244/111,,"Reekie, Gilbert Michael,",1976,,"iv, 58 ;",http://hdl.handle.net/11244/4194,,"Source: Dissertation Abstracts International, Volume: 37-08, Section: B, page: 4000.",The University of Oklahoma.,Mathematics.,Ph.D.,,"Covering refinements, collectionwise normality, and related properties /",Thesis,(UMI)AAI7701844
3876,11244/111,,"Stumbaugh, Charles C.,",1975,,"vii, 93 leaves ;",http://hdl.handle.net/11244/3988,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 1990.",The University of Oklahoma.,"Education, Business.||Accounting Study and teaching.",Ph.D.,,The effect of college algebra and high school bookkeeping on achievement in the second course of elementary accounting /,Thesis,(UMI)AAI7521829
3824,11244/111,,"Li, Ching-chang Eugene,",1975,,"vii, 106 leaves :",http://hdl.handle.net/11244/3936,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: B, page: 1844.",The University of Oklahoma.,"Sanitary landfills.||Energy.||Engineering, Civil.||Water quality.||Groundwater.",Ph.D.,,Studies of ground water quality under a sanitary landfill /,Thesis,(UMI)AAI7521191
4083,11244/111,,"Regens, James L.,",1976,,"ix, 237 ;",http://hdl.handle.net/11244/4195,,"Source: Dissertation Abstracts International, Volume: 37-08, Section: A, page: 5332.",The University of Oklahoma.,"Political science||Political Science, General.",Ph.D.,,Foreign policy belief systems and military service:,Thesis,(UMI)AAI7701845
3864,11244/111,,"Pinto, James V.,",1975,,"viii, 335 leaves :",http://hdl.handle.net/11244/3976,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2344.",The University of Oklahoma.,"Industrial location.||Economics.||Economics, Theory.",Ph.D.,,Background and development of location theory /,Thesis,(UMI)AAI7521817
3847,11244/111,,"Fleck, Joseph William,",1975,,"viii, 157 leaves ;",http://hdl.handle.net/11244/3959,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 1940.",The University of Oklahoma.,"School principals Oklahoma.||Education, Administration.",Ph.D.,,The Oklahoma high school principalship as a position of professional leadership /,Thesis,(UMI)AAI7521797
3833,11244/111,,"Wagner, Kit Kern,",1975,,"viii, 72 leaves :",http://hdl.handle.net/11244/3945,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: B, page: 1774.",The University of Oklahoma.,"Hydrodynamics.||Physics, Atmospheric Science.||Boundary layer (Meteorology)",Ph.D.,,Inflection point instability within an inversion layer /,Thesis,(UMI)AAI7521202
3816,11244/111,,"Wu, Philip Po-him,",1974,,"vii, 134 leaves ;",http://hdl.handle.net/11244/3928,,"Source: Dissertation Abstracts International, Volume: 36-01, Section: A, page: 0446.",The University of Oklahoma.,"Economics, Finance.||Economic development.||Money.||Banks and banking Insurance business",Ph.D.,,Money and banking in economic development /,Thesis,(UMI)AAI7515276
3853,11244/111,,"Hsieh, Kwok-kwong,",1975,,"viii, 129 leaves :",http://hdl.handle.net/11244/3965,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 1950.",The University of Oklahoma.,"Education, Administration.||Teachers Training of Oklahoma.",Ph.D.,,An investigation and analysis of selected teacher education programs in Oklahoma /,Thesis,(UMI)AAI7521805
4085,11244/111,,"Silverman, Alan Richard,",1976,,"vii, 86 leaves :",http://hdl.handle.net/11244/4197,,"Source: Dissertation Abstracts International, Volume: 37-08, Section: A, page: 4875.",The University of Oklahoma.,"Education, Guidance and Counseling.||Counseling.",Ph.D.,,Evaluating goal attainment scaling by independent observation in parent behavior management counseling /,Thesis,(UMI)AAI7701847
3859,11244/111,,"Lewis, Kenneth E.",1975,,"vii, 477 leaves :",http://hdl.handle.net/11244/3971,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2292.",The University of Oklahoma.,"Anthropology, Archaeology.||Jamestown (Va.) History.",Ph.D.,,The Jamestown frontier :,Thesis,(UMI)AAI7521812
3841,11244/111,,"Casey, Helen,",1975,,"iv, 74 leaves ;",http://hdl.handle.net/11244/3953,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2193.",The University of Oklahoma.,"Literature, Modern.||Medio, Dolores.",Ph.D.,,Language and communication as thematic elements in the works of Dolores Medio /,Thesis,(UMI)AAI7521790
3817,11244/111,,"Assaneea, Abdullah A.",1975,,"ix, 165 leaves :",http://hdl.handle.net/11244/3929,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2419.",The University of Oklahoma.,Geography.||Education Saudi Arabia.||Geography Study and teaching.,Ph.D.,,An analysis of the contemporary geographic education in the public schools of Saudi Arabia /,Thesis,(UMI)AAI7521180
3826,11244/111,,"Martin, Sabra,",1975,,"v, 77 leaves ;",http://hdl.handle.net/11244/3938,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2106.",The University of Oklahoma.,"Education, Educational Psychology.||Women college students.",Ph.D.,,The effect of perceived parental influence on need achievement of women in traditional and nontraditional academic majors /,Thesis,(UMI)AAI7521193
3834,11244/111,,"Watson, Lawrence Joseph,",1975,,"vi, 117 leaves :",http://hdl.handle.net/11244/3946,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2422.",The University of Oklahoma.,Botany Oklahoma.||Geography.,Ph.D.,,The geographic variation of Asclepias tuberosa interior in Oklahoma /,Thesis,(UMI)AAI7521203
4087,11244/111,,"Snell, Gladys Mitchell,",1976,,"iv, 113 leaves ;",http://hdl.handle.net/11244/4199,,"Source: Dissertation Abstracts International, Volume: 37-08, Section: A, page: 4876.",The University of Oklahoma.,"Education, Guidance and Counseling.||Self-perception.",Educat.D.,,The effects of a self concept enhancement program on ninth grade students /,Thesis,(UMI)AAI7701849
3848,11244/111,,"Fluck, Samuel Claude,",1975,,"viii, 85 l. ;",http://hdl.handle.net/11244/3960,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2049.",The University of Oklahoma.,"Education, Higher.||College teachers.||College administrators.",Ph.D.,,A comparison of male and female university faculty members' perceptions of decisions made by their immediate superiors.,Thesis,(UMI)AAI7521798
3818,11244/111,,"Berman, Ronald,",1975,,"vii, 117 leaves ;",http://hdl.handle.net/11244/3930,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2082.",The University of Oklahoma.,"Education United States.||Education, Philosophy of.",Ph.D.,,A critical analysis of deschooling as a solution to the crisis in American education /,Thesis,(UMI)AAI7521181
4088,11244/111,,"Somervill, Charles,",1976,,"ix, 103 leaves :",http://hdl.handle.net/11244/4200,,"Source: Dissertation Abstracts International, Volume: 37-08, Section: A, page: 4679.",The University of Oklahoma.,Mass Communications.||Public service television programs,Ph.D.,,Ascertainment in public broadcasting :,Thesis,(UMI)AAI7701850
3893,11244/111,,"Bewley, Wesley Leon,",1975,,"viii, 155 leaves ;",http://hdl.handle.net/11244/4005,,"Source: Dissertation Abstracts International, Volume: 36-08, Section: A, page: 4982.",The University of Oklahoma.,"Education, Curriculum and Instruction.||Reading readiness.",Ph.D.,,"The effects of family structure, socioeconomic status, and pupil gender upon children's reading readiness scores /",Thesis,(UMI)AAI7603083
3842,11244/111,,"Christmore, Patricia C.,",1975,,"vii, 197 leaves ;",http://hdl.handle.net/11244/3954,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2288.",The University of Oklahoma.,"Business Administration, Accounting.||Finance Mathematical models.",Ph.D.,,A computer simulation model utilizing selected financial planning variables /,Thesis,(UMI)AAI7521791
3835,11244/111,,"Wellman, Ora Max,",1975,,"ix, 159 leaves ;",http://hdl.handle.net/11244/3947,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 1990.",The University of Oklahoma.,"Education, Business.||Consumer education.||Industrial relations.||Personnel management.",Ph.D.,,A comparative study of personal economic understandings of management and nonmanagement personnel in business and industrial firms/,Thesis,(UMI)AAI7521204
3819,11244/111,,"Campbell, John M.,",1975,,"viii, 149 leaves ;",http://hdl.handle.net/11244/3931,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2316.",The University of Oklahoma.,"Economics Mathematical models.||Home economics.||Economics, General.",Ph.D.,,Household demand :,Thesis,(UMI)AAI7521182
3854,11244/111,,"Jepsen, Michael Lee,",1975,,"vii, 56 leaves ;",http://hdl.handle.net/11244/3966,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2134.",The University of Oklahoma.,"Conservation of substance (Psychology)||Education, Special.||Mentally ill children.",Ph.D.,,Comparison of conservation performance of normal and institutionalized emotionally disturbed children /,Thesis,(UMI)AAI7521806
3828,11244/111,,"Nappa, Zahea Hassen,",1974,,"vii, 132 leaves ;",http://hdl.handle.net/11244/3940,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2109.",The University of Oklahoma.,"Interpersonal relations.||Education, Secondary.||Education, Educational Psychology.||Education, Elementary.",Ph.D.,,Historical development of the influence of human relations training and human relations curricula in elementary and secondary education from 1962-1972 /,Thesis,(UMI)AAI7521195
4090,11244/111,,"Steffens, John Edward,",1976,,"vii, 165 leaves ;",http://hdl.handle.net/11244/4202,,"Source: Dissertation Abstracts International, Volume: 37-08, Section: A, page: 4769.",The University of Oklahoma.,"Education.||Education, Administration.",Ph.D.,,Educational values and school boundary permeability /,Thesis,(UMI)AAI7701852
3860,11244/111,,"Meadows, Edward Scott,",1975,,"vi, 102 leaves ;",http://hdl.handle.net/11244/3972,,"Source: Dissertation Abstracts International, Volume: 36-05, Section: B, page: 2501.",The University of Oklahoma.,"Amnesia.||Hypnotism Therapeutic use.||Psychology, Experimental.",Ph.D.,,The role of amnesia in post-hypnotic behavior /,Thesis,(UMI)AAI7521813
3820,11244/111,,"Hariri, Ali Reza,",1975,,"vi, 37 leaves :",http://hdl.handle.net/11244/3932,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: B, page: 1581.",The University of Oklahoma.,"Antifungal agents.||Biology, Microbiology.",Ph.D.,,In vitro and in vivo study of the new antifungal agents /,Thesis,(UMI)AAI7521187
4091,11244/111,,"Stetson, Elton G.",1976,,"ix, 187 leaves ;",http://hdl.handle.net/11244/4203,,"Source: Dissertation Abstracts International, Volume: 37-08, Section: A, page: 4926.",The University of Oklahoma.,"Education, Language and Literature.||Education.",Educat.D.,,One hundred nineteen phonograms: an analysis of pronunciability / by Elton Grant Stetson.,Thesis,(UMI)AAI7701853
3849,11244/111,,"Gaston, James Clinton,",1975,,"ix, 474 leaves ;",http://hdl.handle.net/11244/3961,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2182.",The University of Oklahoma.,"Literature, General.||United States History Revolution, 1775-1783 Poetry.",Ph.D.,,"An anthology of poems dealing with the American Revolution taken from prominent London magazines and newspapers, 1763-1783 /",Thesis,(UMI)AAI7521800
3836,11244/111,,"Williams, Mary Jane,",1975,,"vi, 75 leaves :",http://hdl.handle.net/11244/3948,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: B, page: 1976.",The University of Oklahoma.,"Psychology, Social.||Conditioned response.",Ph.D.,,The Ho Chi Minh effect :,Thesis,(UMI)AAI7521205
3865,11244/111,,"Poole, F. Robert,",1975,,"vi, 44 leaves :",http://hdl.handle.net/11244/3977,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2110.",The University of Oklahoma.,"Reading.||Criminals Rehabilitation.||Reading Remedial teaching.||Education, Educational Psychology.",Ph.D.,,Reading comprehension gain and factors of personality in the male juvenile felon in Oklahoma /,Thesis,(UMI)AAI7521818
3843,11244/111,,"Crouch, Laura Ernestine,",1975,,"v, 269 leaves ;",http://hdl.handle.net/11244/3955,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2181.",The University of Oklahoma.,"English literature History and criticism.||Literature, General.||Scientists.",Ph.D.,,The scientist in English literature :,Thesis,(UMI)AAI7521792
4092,11244/111,,"Thibodeaux, Carole.",1976,,"v, 318 leaves ;",http://hdl.handle.net/11244/4204,,"Source: Dissertation Abstracts International, Volume: 37-08, Section: A, page: 4690.",The University of Oklahoma.,"Music.||Piano music Interpretation (Phrasing, dynamics, etc.)",D.Mus.Ed.,,Performance analysis :,Thesis,(UMI)AAI7701854
3829,11244/111,,"Spalding, Arminta Scott,",1975,,"x, 305 leaves ;",http://hdl.handle.net/11244/3941,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2397.",The University of Oklahoma.,"History of Science.||Choctaw Indians Missions.||Kingsbury, Cyrus, 1786-1870.",Ph.D.,,Cyrus Kingsbury :,Thesis,(UMI)AAI7521197
3855,11244/111,,"Katsikas, Suzanne Jolicoeur.",1975,,"v, 361 leaves ;",http://hdl.handle.net/11244/3967,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2410.",The University of Oklahoma.,"International relations.||Intervention (International law)||Political Science, International Law and Relations.",Ph.D.,,Intervention/penetration and the international system /,Thesis,(UMI)AAI7521807
4094,11244/111,,"Thurmond, Raymond Clyde,",1976,,"vii, 542 leaves ;",http://hdl.handle.net/11244/4206,,"Source: Dissertation Abstracts International, Volume: 37-08, Section: A, page: 4966.",The University of Oklahoma.,"Education.||Education, Physical.",Educat.D.,,The history of sport and physical education as a field of study in higher education /,Thesis,(UMI)AAI7701856
3877,11244/111,,"Taylor, Constance E. S.",1975,,"vi, 46 leaves :",http://hdl.handle.net/11244/3989,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: B, page: 1568.",The University of Oklahoma.,"Compositae.||Biology, Botany.",Ph.D.,,Euthamia gymnospermoides (Compositae) /,Thesis,(UMI)AAI7521830
3844,11244/111,,"Dane, Andrew John,",1975,,"viii, 152 leaves ;",http://hdl.handle.net/11244/3956,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2340.",The University of Oklahoma.,"Industries Germany (West)||Industries Germany (East)||Economics, Theory.",Ph.D.,,The industrial sectors of East Germany and West Germany :,Thesis,(UMI)AAI7521794
3866,11244/111,,"Prather, Jerry Roland,",1975,,"vii, 73 leaves :",http://hdl.handle.net/11244/3978,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2110.",The University of Oklahoma.,"Judgment||Attitude (Psychology)||Education, Educational Psychology.",Ph.D.,,"Congruence among measures of attitudes and value judgments of trainees, within job classifications, working for the federal prison system /",Thesis,(UMI)AAI7521819
3856,11244/111,,"Kelly, Thomas Lee,",1975,,125 leaves ;,http://hdl.handle.net/11244/3968,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2219.",The University of Oklahoma.,"Amis, Kingsley.||Literature, English.",Ph.D.,,The quest for self in the early novels of Kingsley Amis /,Thesis,(UMI)AAI7521808
4096,11244/111,,"Todd, Alan Dale,",1976,,"vii, 71 leaves :",http://hdl.handle.net/11244/4208,,"Source: Dissertation Abstracts International, Volume: 37-08, Section: A, page: 4796.",The University of Oklahoma.,"Education.||Education, Technology of.",Ph.D.,,A study of perceptual type and contextual stimuli /,Thesis,(UMI)AAI7701858
3874,11244/111,,"Smith, Claire Lindsay Garnier,",1975,,"vii, 94 leaves :",http://hdl.handle.net/11244/3986,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 1990.",The University of Oklahoma.,"Education, Business.||Readability (Literary style)||Textbooks.||Accounting Study and teaching.",Ph.D.,,A comparative study of the readability of selected accounting textbooks /,Thesis,(UMI)AAI7521827
3870,11244/111,,"De Rodr‰ö_‰äÊez, Cecilia R. Silva,",1975,,"vi, 183 leaves ;",http://hdl.handle.net/11244/3982,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2234.",The University of Oklahoma.,"GÌÓë©íÏndara, Carmen.||Literature, Latin American.",Ph.D.,,Carmen G‰ö_æÈara :,Thesis,(UMI)AAI7521823
4097,11244/111,,"Walker, Linda K.,",1976,,"vi, 131 leaves ;",http://hdl.handle.net/11244/4209,,"Source: Dissertation Abstracts International, Volume: 37-08, Section: A, page: 5131.",The University of Oklahoma.,"Thoreau, Henry David, 1817-1862.||Literature, American.",Ph.D.,,A fruitful profusion :,Thesis,(UMI)AAI7701859
3900,11244/111,,"Chou, Teh-chang,",1975,,"xiii, 237 leaves :",http://hdl.handle.net/11244/4012,,"Source: Dissertation Abstracts International, Volume: 36-08, Section: B, page: 3955.",The University of Oklahoma.,"Chemistry, Organic.||Organic compounds Synthesis.",Ph.D.,,Synthetic approaches to pentaprismane and related systems /,Thesis,(UMI)AAI7603090
3851,11244/111,,"Graves, Barbara Farris,",1975,,"vi, 178 leaves ;",http://hdl.handle.net/11244/3963,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2196.",The University of Oklahoma.,"Literature, Modern.||Stevens, Wallace, 1879-1955.",Ph.D.,,Steven's reading in contemporary French aesthetics :,Thesis,(UMI)AAI7521803
3862,11244/111,,"Naimi, Dana Patricia,",1975,,"v, 159 leaves ;",http://hdl.handle.net/11244/3974,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2200.",The University of Oklahoma.,"Cuzzani, AgustÌÓë©íÏn, 1924-1987.||Literature, Modern.",Ph.D.,,The dramatic works of Agust‰ö_‰äÊCuzzani /,Thesis,(UMI)AAI7521815
3857,11244/111,,"Lai, Ming Ts,",1975,,"vii, 89 leaves ;",http://hdl.handle.net/11244/3969,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2103.",The University of Oklahoma.,"Education, Educational Psychology.||Educational psychology Study and teaching.",Ph.D.,,A content analysis of selected educational psychology textbooks published between 1970 and 1974 /,Thesis,(UMI)AAI7521810
3889,11244/111,,"Wyant, Kerry W.,",1975,,"iv, 92 leaves ;",http://hdl.handle.net/11244/4001,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: B, page: 1956.",The University of Oklahoma.,"Psychology, Experimental.||Interpersonal relations.",Ph.D.,,Some reinforcing properties of negative interpersonal evaluations /,Thesis,(UMI)AAI7521843
3871,11244/111,,"Sanspone, Wichian,",1975,,"ix, 141 leaves ;",http://hdl.handle.net/11244/3983,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 1967.",The University of Oklahoma.,"Education, Administration.||Teachers Rating of.||Education, Higher Thailand.",Ph.D.,,A study of faculty promotion in higher education in Thailand /,Thesis,(UMI)AAI7521824
3881,11244/111,,"Vanderah, David John,",1975,,"ix, 125 leaves :",http://hdl.handle.net/11244/3993,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: B, page: 1719.",The University of Oklahoma.,"Chemistry, Organic.||Acetylene compounds.||Natural products.||Terpenes.",Ph.D.,"Isolation of dendrolasin from the sponge Oligoceras hemorrhages.||Isolation of two known sapogenins from the sea cucumber Holothuria atra.||Cembrene-A and two new cembrene derivatives from a Pacific soft coral, Nephthea sp.||Dactylyne, a revised structure, and isodactylyne, a novel halogenated acetylenic compound.||Three new sesquiterpenes from the sea hare Aplysia dactylomela (Rang), dactylenol, dactylenol acetate, and dactylol.","I. DACTYLYNE, A REVISED STRUCTURE, AND ISODACTYLYNE, A NOVEL HALOGENATED ACETYLENIC COMPOUND. II. THREE NEW SESQUITERPENES FROM THE SEA HARE APLYSIA DACTYLOMELA (RANG):  DACTYLENOL, DACTYLENOL ACETATE, AND DACTYLOL. III. ISOLATION OF DENDROLASIN FROM THE SPONGE OLIGOCERAS HEMORRHAGES. IV. ISOLATION OF TWO KNOWN SAPOGENINS FROM THE SEA CUCUMBER HOLOTHURIA ATRA. V. A NOVEL POLACETYLATED COMPOUND FROM A SOFT CORAL. VI. CEMBRENE-A AND TWO NEW CEMBRENE DERIVATIVES.",Thesis,(UMI)AAI7521835
3878,11244/111,,"Taylor, John Gates.",1975,,"vi, 340 leaves ;",http://hdl.handle.net/11244/3990,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2398.",The University of Oklahoma.,Earthquakes.||History of Science.,Ph.D.,,Eighteenth-century earthquake theories :,Thesis,(UMI)AAI7521831
3867,11244/111,,"Preda, Michael Alexander,",1975,,195 leaves ;,http://hdl.handle.net/11244/3979,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2411.",The University of Oklahoma.,"International business enterprises.||Political Science, International Law and Relations.",Ph.D.,,Regulation of multinational corporations and political integration of the European community /,Thesis,(UMI)AAI7521820
3895,11244/111,,"Bonem, Rena Mae,",1975,,"xiii, 194 leaves :",http://hdl.handle.net/11244/4007,,"Source: Dissertation Abstracts International, Volume: 36-08, Section: B, page: 3826.",The University of Oklahoma.,"Geology, Stratigraphic Pennsylvanian.||Bioherms Oklahoma.||Geology.||Reefs Florida Florida Keys.||Reefs Jamaica.",Ph.D.,,Comparison of ecology and sedimentation in Pennsylvanian (Morrowan) bioherms of northeastern Oklahoma with modern patch reefs in Jamaica and the Florida Keys /,Thesis,(UMI)AAI7603085
3875,11244/111,,"Stanley, Keith L.,",1975,,"v, 100 leaves :",http://hdl.handle.net/11244/3987,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: B, page: 1636.",The University of Oklahoma.,Energy.||Air Pollution.||Environmental Sciences.,Ph.D.,,Evaluation of ambient air borne particulates in an industrial environment /,Thesis,(UMI)AAI7521828
3887,11244/111,,"Woodard, Charles L.,",1975,,200 leaves ;,http://hdl.handle.net/11244/3999,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2205.",The University of Oklahoma.,"Literature, Modern.||Momaday, Natachee Scott.",Ph.D.,,The concept of the creative word in the writings of N. Scott Momaday /,Thesis,(UMI)AAI7521841
3892,11244/111,,"Avellano, George Paul,",1975,,"vi, 118 leaves ;",http://hdl.handle.net/11244/4004,,"Source: Dissertation Abstracts International, Volume: 36-08, Section: A, page: 4968.",The University of Oklahoma.,"Vocational education.||Education, Business.",Ph.D.,,The social marketing of career education based on the elements of the marketing concept /,Thesis,(UMI)AAI7603081
3885,11244/111,,"Wilson, David Mack,",1975,,"viii, 101 leaves :",http://hdl.handle.net/11244/3997,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: B, page: 1802.",The University of Oklahoma.,"Physics, Condensed Matter.||Physical metallurgy.||Magnetism.",Ph.D.,,The magnetization of FeBOb3s in the critical region /,Thesis,(UMI)AAI7521839
3882,11244/111,,"Varner, Iris I.",1975,,"iv, 145 leaves ;",http://hdl.handle.net/11244/3994,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: A, page: 2075.",The University of Oklahoma.,"Education, History of.||Marcus, Herbert, 1898-",Ph.D.,,The educational thought of Herbert Marcuse /,Thesis,(UMI)AAI7521836
3879,11244/111,,"Tu, Hung-yuan,",1975,,"vi, 87 leaves ;",http://hdl.handle.net/11244/3991,,"Source: Dissertation Abstracts International, Volume: 36-04, Section: B, page: 1895.",The University of Oklahoma.,Operations Research.||Queuing theory.,Ph.D.,,The design of parallel channel queueing systems /,Thesis,(UMI)AAI7521833
3897,11244/111,,"Branson, Kay,",1975,,"viii, 101 leaves :",http://hdl.handle.net/11244/4009,,"Source: Dissertation Abstracts International, Volume: 36-08, Section: A, page: 5541.",The University of Oklahoma.,Public welfare Oklahoma.||Geography.,Ph.D.,,Efficient organization of social service administrative regions in Oklahoma /,Thesis,(UMI)AAI7603087
